iter	Logloss
0	0.6750729129
1	0.6584279947
2	0.6427809811
3	0.6288145186
4	0.6163583447
5	0.60337378
6	0.5910412976
7	0.5802965655
8	0.569726942
9	0.5607561844
10	0.551656839
11	0.5437385323
12	0.5363680636
13	0.5294248355
14	0.5230117585
15	0.5165591685
16	0.5111624903
17	0.5055874069
18	0.5005351352
19	0.4958687009
20	0.4917196262
21	0.4879392292
22	0.4841060202
23	0.4808498979
24	0.4776853633
25	0.4743441675
26	0.4713667071
27	0.468722227
28	0.4661490698
29	0.4636345973
30	0.4612223851
31	0.4591123695
32	0.4569375915
33	0.4549455579
34	0.4530819431
35	0.4514117479
36	0.4499084761
37	0.4484190768
38	0.446991135
39	0.4454829656
40	0.44416789
41	0.4427930092
42	0.4416911231
43	0.4405678432
44	0.4397908958
45	0.4388099364
46	0.4379265559
47	0.4371882087
48	0.4362264785
49	0.435550075
50	0.434820324
51	0.4341014891
52	0.4334062872
53	0.4327711426
54	0.4323331034
55	0.4317964635
56	0.4312806648
57	0.4307307569
58	0.4302857789
59	0.4298113266
60	0.4292581684
61	0.4288384234
62	0.4284255495
63	0.4279298413
64	0.4273464818
65	0.4268373344
66	0.426450078
67	0.426100223
68	0.4257873355
69	0.4253566421
70	0.4249967297
71	0.4246697671
72	0.4243462671
73	0.423973503
74	0.4236052125
75	0.4233416863
76	0.4230909736
77	0.4227951155
78	0.4225702651
79	0.42232885
80	0.4220002843
81	0.4217420013
82	0.4214927862
83	0.4212252819
84	0.4210070337
85	0.4208019793
86	0.4206134103
87	0.420457842
88	0.4202510914
89	0.4200303066
90	0.4197352531
91	0.4194964266
92	0.4193277876
93	0.418997632
94	0.4187866829
95	0.4186073923
96	0.4184705787
97	0.4182402932
98	0.4180333837
99	0.4178653273
100	0.4176192622
101	0.4175194092
102	0.4173050239
103	0.4171482782
104	0.417009356
105	0.4168953719
106	0.4167714857
107	0.4166408433
108	0.4164193908
109	0.4163152357
110	0.4160999721
111	0.4159283332
112	0.4157466631
113	0.4155791533
114	0.4154425384
115	0.4152328452
116	0.4151074217
117	0.4149072368
118	0.414787819
119	0.4146461864
120	0.4145264991
121	0.4143862543
122	0.4142020906
123	0.4140085863
124	0.4137742842
125	0.4136476326
126	0.4135139814
127	0.4133903576
128	0.4131974943
129	0.412972343
130	0.4128069125
131	0.4126850024
132	0.4124665657
133	0.4123375349
134	0.4122271753
135	0.4120620165
136	0.4119468495
137	0.4118660696
138	0.4117391612
139	0.4116572437
140	0.4115457241
141	0.4114297201
142	0.4112356319
143	0.411099781
144	0.4110117626
145	0.4109623562
146	0.4108155341
147	0.4106649732
148	0.4104335287
149	0.410367321
150	0.4102414289
151	0.4101653106
152	0.4100431298
153	0.4098494435
154	0.4097385026
155	0.4095584933
156	0.4094082915
157	0.4092268827
158	0.4091152447
159	0.4090255968
160	0.4089114921
161	0.4088083025
162	0.4086875111
163	0.4086051205
164	0.4084737388
165	0.4083651523
166	0.4082143597
167	0.4080625078
168	0.4078422538
169	0.407786684
170	0.4076383401
171	0.4075293327
172	0.4073939136
173	0.4073348623
174	0.4072416511
175	0.407140599
176	0.4070808141
177	0.4069616972
178	0.4068600032
179	0.4067423981
180	0.4066062731
181	0.4064510129
182	0.4063493321
183	0.4062886996
184	0.4061356075
185	0.4060246476
186	0.4059553274
187	0.4058535273
188	0.4057665887
189	0.4056887666
190	0.405481434
191	0.4053117774
192	0.4052263808
193	0.4050636108
194	0.4048588851
195	0.4047579
196	0.4046962943
197	0.4046259504
198	0.4044969288
199	0.4043727867
200	0.4042795317
201	0.4041435853
202	0.4040885099
203	0.4039136645
204	0.4037902029
205	0.4036847836
206	0.4036132574
207	0.4035184695
208	0.4034345669
209	0.403364548
210	0.4032251565
211	0.4031558745
212	0.4030672312
