iter	Passed	Remaining
0	12	12614
1	72	36010
2	105	34963
3	133	33363
4	248	49360
5	274	45446
6	374	53171
7	409	50837
8	461	50868
9	513	50854
10	548	49324
11	627	51643
12	672	51032
13	710	50022
14	768	50488
15	801	49298
16	836	48349
17	883	48221
18	913	47188
19	1003	49171
20	1051	49010
21	1120	49809
22	1176	49987
23	1212	49327
24	1251	48817
25	1296	48582
26	1350	48664
27	1400	48613
28	1443	48322
29	1487	48099
30	1538	48076
31	1561	47234
32	1587	46512
33	1642	46667
34	1720	47438
35	1760	47140
36	1812	47183
37	1862	47142
38	1900	46821
39	1998	47960
40	2044	47827
41	2080	47461
42	2164	48162
43	2194	47690
44	2235	47450
45	2291	47522
46	2336	47373
47	2396	47537
48	2452	47601
49	2490	47325
50	2530	47087
51	2565	46778
52	2609	46627
53	2685	47039
54	2730	46922
55	2783	46929
56	2820	46661
57	2860	46461
58	2896	46203
59	2935	45991
60	2976	45811
61	3011	45561
62	3058	45484
63	3101	45352
64	3146	45261
65	3185	45075
66	3242	45150
67	3287	45057
68	3311	44686
69	3336	44332
70	3406	44577
71	3433	44253
72	3481	44204
73	3531	44194
74	3558	43889
75	3623	44054
76	3674	44045
77	3708	43831
78	3748	43701
79	3816	43886
80	3851	43700
81	3884	43488
82	3925	43371
83	3950	43080
84	3970	42742
85	4030	42833
86	4071	42729
87	4127	42774
88	4185	42846
89	4213	42603
90	4261	42567
91	4321	42648
92	4375	42674
93	4405	42463
94	4447	42372
95	4491	42293
96	4548	42344
97	4598	42321
98	4639	42227
99	4689	42207
100	4735	42148
101	4783	42110
102	4813	41921
103	4845	41742
104	4880	41597
105	4901	41342
106	4946	41286
107	4969	41046
108	5016	41003
109	5049	40855
110	5085	40729
111	5121	40607
112	5159	40499
113	5187	40320
114	5224	40206
115	5270	40164
116	5289	39920
117	5333	39865
118	5353	39634
119	5393	39552
120	5425	39414
121	5457	39273
122	5477	39055
123	5507	38905
124	5534	38742
125	5570	38643
126	5597	38475
127	5623	38307
128	5664	38247
129	5696	38125
130	5718	37934
131	5753	37836
132	5791	37750
133	5833	37700
134	5863	37569
135	5901	37491
136	5930	37355
137	5963	37250
138	6000	37165
139	6031	37052
140	6083	37060
141	6120	36979
142	6160	36920
143	6195	36826
144	6227	36718
145	6255	36592
146	6289	36495
147	6325	36416
148	6376	36421
149	6402	36282
150	6437	36192
151	6470	36098
152	6505	36011
153	6542	35941
154	6584	35896
155	6609	35757
156	6639	35648
157	6673	35564
158	6708	35483
159	6746	35418
160	6775	35306
161	6812	35240
162	6845	35148
163	6879	35068
164	6909	34966
165	6946	34900
166	6985	34843
167	7016	34747
168	7043	34636
169	7064	34491
170	7100	34423
171	7120	34276
172	7153	34196
173	7184	34107
174	7213	34005
175	7251	33949
176	7281	33858
177	7315	33783
178	7351	33717
179	7375	33600
180	7411	33536
181	7444	33461
182	7474	33367
183	7507	33293
184	7543	33233
185	7573	33144
186	7593	33013
187	7638	32993
188	7677	32944
189	7708	32864
190	7732	32753
191	7772	32711
192	7797	32602
193	7824	32509
194	7851	32411
195	7893	32379
196	7922	32293
197	7950	32205
198	7986	32148
199	8021	32084
200	8052	32009
201	8077	31910
202	8105	31824
203	8140	31764
204	8184	31740
205	8224	31698
206	8249	31603
207	8293	31578
208	8321	31493
209	8344	31391
210	8382	31343
211	8407	31251
212	8441	31190
213	8468	31102
214	8495	31020
215	8532	30970
216	8567	30915
217	8597	30839
218	8645	30832
219	8677	30764
220	8707	30692
221	8729	30592
222	8766	30544
223	8806	30509
224	8839	30446
225	8872	30384
226	8902	30317
227	8940	30271
228	8972	30209
229	9009	30161
230	9044	30109
231	9075	30044
232	9113	30000
233	9147	29943
234	9176	29872
235	9221	29851
236	9246	29769
237	9268	29674
238	9298	29608
239	9324	29528
240	9358	29474
241	9401	29446
242	9433	29388
243	9450	29280
244	9482	29222
245	9523	29190
246	9563	29153
247	9597	29100
248	9630	29045
249	9651	28953
250	9694	28928
251	9741	28915
252	9774	28858
253	9806	28801
254	9833	28728
255	9855	28643
256	9885	28579
257	9908	28496
258	9950	28467
259	9978	28399
260	10014	28354
261	10037	28274
262	10061	28195
263	10112	28193
264	10136	28115
265	10167	28057
266	10206	28019
267	10238	27965
268	10263	27890
269	10301	27851
270	10342	27822
271	10374	27766
272	10414	27732
273	10448	27684
274	10482	27635
275	10522	27602
276	10541	27514
277	10580	27479
278	10610	27420
279	10646	27377
280	10682	27334
281	10720	27296
282	10748	27231
283	10773	27160
284	10813	27127
285	10843	27070
286	10884	27041
287	10926	27013
288	10967	26982
289	11002	26936
290	11043	26906
291	11071	26845
292	11112	26814
293	11150	26776
294	11192	26747
295	11241	26735
296	11286	26716
297	11337	26706
298	11376	26670
299	11417	26641
300	11449	26589
301	11489	26555
302	11518	26497
303	11543	26427
304	11574	26374
305	11598	26304
306	11627	26246
307	11658	26192
308	11679	26117
309	11697	26037
310	11735	25999
311	11773	25962
312	11799	25899
313	11834	25854
314	11853	25776
315	11892	25742
316	11924	25691
317	11952	25634
318	11981	25578
319	12015	25532
320	12052	25494
321	12083	25442
322	12119	25402
323	12149	25348
324	12192	25323
325	12209	25242
326	12229	25170
327	12247	25093
328	12283	25053
329	12317	25008
330	12342	24946
331	12367	24884
332	12397	24832
333	12433	24791
334	12474	24763
335	12517	24736
336	12556	24702
337	12578	24635
338	12597	24563
339	12628	24514
340	12658	24463
341	12700	24434
342	12724	24374
343	12752	24318
344	12789	24282
345	12829	24250
346	12850	24182
347	12886	24143
348	12914	24089
349	12951	24053
350	12972	23985
351	12996	23926
352	13032	23886
353	13066	23845
354	13103	23808
355	13133	23757
356	13160	23703
357	13197	23667
358	13221	23606
359	13251	23558
360	13277	23502
361	13304	23447
362	13343	23414
363	13373	23367
364	13400	23312
365	13435	23273
366	13481	23252
367	13523	23225
368	13550	23172
369	13585	23131
370	13615	23084
371	13657	23056
372	13691	23014
373	13725	22973
374	13792	22987
375	13826	22945
376	13852	22890
377	13881	22841
378	13913	22797
379	13954	22767
380	13994	22736
381	14038	22711
382	14068	22664
383	14110	22635
384	14133	22577
385	14185	22564
386	14211	22511
387	14251	22479
388	14277	22426
389	14307	22378
390	14335	22327
391	14364	22279
392	14393	22230
393	14423	22184
394	14476	22173
395	14503	22122
396	14522	22058
397	14545	22001
398	14587	21972
399	14622	21934
400	14666	21908
401	14692	21855
402	14733	21826
403	14771	21791
404	14810	21757
405	14830	21698
406	14863	21656
407	14891	21607
408	14920	21560
409	14969	21541
410	14998	21494
411	15051	21480
412	15097	21457
413	15151	21446
414	15197	21422
415	15229	21380
416	15273	21353
417	15303	21308
418	15334	21263
419	15358	21209
420	15387	21162
421	15412	21110
422	15461	21091
423	15495	21050
424	15532	21014
425	15561	20967
426	15602	20936
427	15628	20886
428	15664	20849
429	15689	20797
430	15734	20772
431	15767	20730
432	15801	20692
433	15833	20649
434	15866	20608
435	15890	20554
436	15921	20512
437	15960	20479
438	15980	20421
439	16011	20377
440	16043	20336
441	16072	20290
442	16110	20256
443	16144	20216
444	16167	20163
445	16200	20123
446	16227	20075
447	16252	20025
448	16308	20012
449	16348	19981
450	16384	19944
451	16430	19920
452	16469	19886
453	16502	19847
454	16543	19815
455	16569	19767
456	16598	19721
457	16626	19676
458	16666	19643
459	16685	19587
460	16724	19554
461	16760	19518
462	16803	19489
463	16832	19444
464	16872	19412
465	16902	19369
466	16948	19343
